OrderID,Date,WarehouseID,ProductID,Quantity
O00001,3/8/2025,W10,P032,14
O00002,12/30/2025,W02,P071,11
O00003,1/13/2025,W10,P073,3
O00004,11/9/2025,W01,P001,14
O00005,12/1/2025,W03,P013,4
O00006,5/25/2025,W06,P010,9
O00007,5/11/2025,W08,P078,14
O00008,7/8/2025,W04,P070,13
O00009,10/4/2025,W09,P009,3
O00010,7/9/2025,W04,P024,18
O00011,9/22/2025,W10,P079,2
O00012,6/16/2025,W09,P053,6
O00013,1/29/2025,W08,P013,12
O00014,7/3/2025,W04,P037,10
O00015,2/24/2025,W06,P072,4
O00016,4/6/2025,W01,P012,1
O00017,1/11/2025,W08,P034,1
O00018,10/20/2025,W10,P097,3
O00019,3/21/2025,W06,P057,4
O00020,12/9/2025,W08,P089,1
O00021,7/25/2025,W07,P061,5
O00022,1/13/2025,W09,P078,15
O00023,1/13/2025,W09,P094,9
O00024,8/11/2025,W05,P010,17
O00025,4/24/2025,W01,P095,4
O00026,10/16/2025,W06,P073,8
O00027,11/12/2025,W06,P010,20
O00028,1/4/2025,W07,P042,16
O00029,8/19/2025,W08,P067,16
O00030,4/18/2025,W08,P064,14
O00031,6/20/2025,W06,P091,8
O00032,7/31/2025,W10,P073,20
O00033,10/11/2025,W03,P025,3
O00034,4/29/2025,W01,P068,16
O00035,6/3/2025,W07,P076,4
O00036,10/22/2025,W10,P077,20
O00037,7/5/2025,W08,P024,6
O00038,6/10/2025,W09,P056,17
O00039,1/5/2025,W07,P082,17
O00040,6/26/2025,W03,P059,20
O00041,4/15/2025,W08,P039,20
O00042,12/23/2025,W02,P092,8
O00043,11/26/2025,W01,P064,11
O00044,7/21/2025,W08,P087,19
O00045,3/17/2025,W06,P023,3
O00046,12/17/2025,W03,P087,17
O00047,11/4/2025,W06,P042,20
O00048,5/16/2025,W01,P099,20
O00049,9/18/2025,W02,P041,6
O00050,6/8/2025,W07,P097,1
O00051,8/22/2025,W10,P082,8
O00052,9/9/2025,W06,P032,20
O00053,10/19/2025,W03,P002,16
O00054,4/24/2025,W10,P057,10
O00055,7/31/2025,W07,P047,20
O00056,3/31/2025,W03,P001,8
O00057,2/15/2025,W06,P070,5
O00058,3/25/2025,W01,P022,11
O00059,7/3/2025,W05,P093,13
O00060,9/29/2025,W01,P015,8
O00061,7/23/2025,W04,P035,6
O00062,2/22/2025,W08,P082,19
O00063,2/8/2025,W06,P086,16
O00064,1/16/2025,W03,P005,10
O00065,9/28/2025,W09,P052,14
O00066,2/25/2025,W08,P081,11
O00067,11/26/2025,W03,P006,15
O00068,11/29/2025,W06,P070,6
O00069,4/30/2025,W09,P090,2
O00070,9/25/2025,W09,P010,5
O00071,12/24/2025,W06,P089,19
O00072,3/9/2025,W07,P055,20
O00073,5/6/2025,W04,P051,19
O00074,11/23/2025,W04,P094,19
O00075,5/2/2025,W04,P062,11
O00076,12/3/2025,W08,P092,1
O00077,5/31/2025,W10,P097,16
O00078,9/16/2025,W02,P058,15
O00079,4/16/2025,W06,P077,16
O00080,6/20/2025,W06,P097,18
O00081,3/23/2025,W10,P007,7
O00082,9/6/2025,W01,P046,6
O00083,12/28/2025,W04,P085,4
O00084,11/26/2025,W02,P001,8
O00085,12/4/2025,W02,P004,16
O00086,11/15/2025,W05,P010,6
O00087,12/22/2025,W04,P073,19
O00088,6/18/2025,W06,P072,9
O00089,12/11/2025,W07,P062,2
O00090,1/1/2025,W09,P071,20
O00091,10/6/2025,W05,P070,17
O00092,11/20/2025,W05,P067,13
O00093,5/3/2025,W09,P046,14
O00094,1/20/2025,W08,P023,8
O00095,12/11/2025,W04,P014,20
O00096,7/28/2025,W04,P090,19
O00097,8/18/2025,W06,P002,15
O00098,3/4/2025,W05,P032,12
O00099,5/1/2025,W01,P071,8
O00100,8/9/2025,W01,P078,12
O00101,12/11/2025,W03,P011,18
O00102,4/11/2025,W09,P052,4
O00103,1/2/2025,W09,P086,13
O00104,7/13/2025,W06,P059,9
O00105,5/15/2025,W07,P029,13
O00106,12/3/2025,W05,P084,18
O00107,8/5/2025,W02,P094,14
O00108,3/9/2025,W04,P035,13
O00109,8/13/2025,W01,P063,10
O00110,9/8/2025,W09,P058,9
O00111,3/23/2025,W09,P072,17
O00112,6/20/2025,W06,P027,16
O00113,1/23/2025,W01,P007,10
O00114,4/30/2025,W02,P001,14
O00115,2/24/2025,W03,P016,13
O00116,10/3/2025,W08,P036,2
O00117,12/16/2025,W05,P084,7
O00118,4/23/2025,W07,P042,12
O00119,9/12/2025,W04,P045,12
O00120,12/3/2025,W06,P012,13
O00121,3/27/2025,W02,P079,13
O00122,2/20/2025,W03,P031,8
O00123,9/13/2025,W05,P037,7
O00124,6/3/2025,W09,P043,2
O00125,11/3/2025,W08,P017,19
O00126,7/21/2025,W01,P020,9
O00127,2/9/2025,W08,P068,6
O00128,10/23/2025,W05,P026,12
O00129,12/27/2025,W04,P088,6
O00130,5/7/2025,W05,P100,15
O00131,9/15/2025,W05,P002,5
O00132,10/13/2025,W03,P023,10
O00133,7/13/2025,W02,P087,1
O00134,6/11/2025,W07,P038,5
