Date,ProductID,WarehouseID,UnitsSold,Revenue
3/8/2025,P032,W10,14,21322
12/30/2025,P071,W02,11,47509
1/13/2025,P073,W10,3,6657
11/9/2025,P001,W01,14,38668
12/1/2025,P013,W03,4,26440
5/25/2025,P010,W06,9,18702
5/11/2025,P078,W08,14,79996
7/8/2025,P070,W04,13,40586
10/4/2025,P009,W09,3,10089
7/9/2025,P024,W04,18,48330
9/22/2025,P079,W10,2,12334
6/16/2025,P053,W09,6,1518
1/29/2025,P013,W08,12,39408
7/3/2025,P037,W04,10,2180
2/24/2025,P072,W06,4,8624
4/6/2025,P012,W01,1,5549
1/11/2025,P034,W08,1,1412
10/20/2025,P097,W10,3,5853
3/21/2025,P057,W06,4,2564
12/9/2025,P089,W08,1,1847
7/25/2025,P061,W07,5,27500
1/13/2025,P078,W09,15,87075
1/13/2025,P094,W09,9,40833
8/11/2025,P010,W05,17,71791
4/24/2025,P095,W01,4,4280
10/16/2025,P073,W06,8,44600
11/12/2025,P010,W06,20,105920
1/4/2025,P042,W07,16,55712
8/19/2025,P067,W08,16,20016
4/18/2025,P064,W08,14,94822
6/20/2025,P091,W06,8,33488
7/31/2025,P073,W10,20,78880
10/11/2025,P025,W03,3,8781
4/29/2025,P068,W01,16,46368
6/3/2025,P076,W07,4,20656
10/22/2025,P077,W10,20,71080
7/5/2025,P024,W08,6,1554
6/10/2025,P056,W09,17,56372
1/5/2025,P082,W07,17,118286
6/26/2025,P059,W03,20,5740
4/15/2025,P039,W08,20,101700
12/23/2025,P092,W02,8,18184
11/26/2025,P064,W01,11,5720
7/21/2025,P087,W08,19,34352
3/17/2025,P023,W06,3,11946
12/17/2025,P087,W03,17,45101
11/4/2025,P042,W06,20,3000
5/16/2025,P099,W01,20,57640
9/18/2025,P041,W02,6,27960
6/8/2025,P097,W07,1,693
8/22/2025,P082,W10,8,24976
9/9/2025,P032,W06,20,29340
10/19/2025,P002,W03,16,99088
4/24/2025,P057,W10,10,41000
7/31/2025,P047,W07,20,108820
3/31/2025,P001,W03,8,34656
2/15/2025,P070,W06,5,21585
3/25/2025,P022,W01,11,60962
7/3/2025,P093,W05,13,7540
9/29/2025,P015,W01,8,53960
7/23/2025,P035,W04,6,26424
2/22/2025,P082,W08,19,46569
2/8/2025,P086,W06,16,47136
1/16/2025,P005,W03,10,52590
9/28/2025,P052,W09,14,53802
2/25/2025,P081,W08,11,75735
11/26/2025,P006,W03,15,87075
11/29/2025,P070,W06,6,5358
4/30/2025,P090,W09,2,11834
9/25/2025,P010,W09,5,30980
12/24/2025,P089,W06,19,14763
3/9/2025,P055,W07,20,112300
5/6/2025,P051,W04,19,70832
11/23/2025,P094,W04,19,105849
5/2/2025,P062,W04,11,44517
12/3/2025,P092,W08,1,5699
5/31/2025,P097,W10,16,86128
9/16/2025,P058,W02,15,29970
4/16/2025,P077,W06,16,93504
6/20/2025,P097,W06,18,82116
3/23/2025,P007,W10,7,40978
9/6/2025,P046,W01,6,10494
12/28/2025,P085,W04,4,21656
11/26/2025,P001,W02,8,52952
12/4/2025,P004,W02,16,61728
11/15/2025,P010,W05,6,15510
12/22/2025,P073,W04,19,79097
6/18/2025,P072,W06,9,40050
12/11/2025,P062,W07,2,11554
1/1/2025,P071,W09,20,133740
10/6/2025,P070,W05,17,62577
11/20/2025,P067,W05,13,30134
5/3/2025,P046,W09,14,56616
1/20/2025,P023,W08,8,22024
12/11/2025,P014,W04,20,90760
7/28/2025,P090,W04,19,56468
8/18/2025,P002,W06,15,93375
3/4/2025,P032,W05,12,34488
5/1/2025,P071,W01,8,43248
